0.33805,0.023929,5.5069e-24,0.056715,0.034583
0.40089,0.0318,3.3734e-23,0.050657,0.04575
0.46413,0.038748,2.0029e-22,0.041463,0.062704
0.52633,0.044865,1.1526e-21,0.034033,0.080625
0.58442,0.050174,6.4286e-21,0.030777,0.099042
0.63983,0.054765,3.4752e-20,0.030111,0.12164
0.69339,0.057842,1.8209e-19,0.033077,0.1434
0.73905,0.058868,9.2473e-19,0.043175,0.16639
0.77926,0.057075,4.5517e-18,0.064262,0.1877
0.80973,0.052848,2.1715e-17,0.10074,0.20538
0.83275,0.045897,1.0041e-16,0.15254,0.21365
0.84813,0.036995,4.5e-16,0.21639,0.20969
0.856,0.027538,1.9547e-15,0.28944,0.19573
0.8616,0.019078,8.2296e-15,0.36913,0.1712
0.86403,0.012334,3.3582e-14,0.43819,0.14008
0.86799,0.0075888,1.3282e-13,0.49241,0.10781
0.87122,0.0046938,5.0915e-13,0.52528,0.076875
0.87549,0.0030712,1.8917e-12,0.53798,0.051257
0.87972,0.0023909,6.8123e-12,0.54209,0.033167
0.8847,0.0021096,2.3777e-11,0.54534,0.023082
0.88979,0.0021035,8.0438e-11,0.55389,0.015982
0.89371,0.002513,2.6375e-10,0.58257,0.012152
0.89614,0.0033055,8.3818e-10,0.63531,0.0095919
0.89942,0.0045353,2.5818e-09,0.71113,0.0085226
0.90355,0.0063549,7.7078e-09,0.79648,0.0080983
0.90814,0.0087798,2.2303e-08,0.8789,0.0081423
0.91126,0.011677,6.2551e-08,0.93869,0.0088468
0.91054,0.015142,1.7003e-07,0.96287,0.0097149
0.91062,0.019527,4.4797e-07,0.95566,0.010415
0.90768,0.025771,1.1439e-06,0.90349,0.010966
0.9054,0.034806,2.8313e-06,0.82223,0.01067
0.90244,0.048613,6.7918e-06,0.71123,0.010843
0.90366,0.069861,1.5792e-05,0.57998,0.010413
0.90768,0.10216,3.5587e-05,0.43866,0.010187
0.91126,0.1488,7.7729e-05,0.30499,0.0099717
0.91136,0.21255,0.00016455,0.19465,0.0095421
0.89874,0.29701,0.00033764,0.10949,0.0093751
0.87124,0.40196,0.00067147,0.056066,0.0089084
0.81709,0.52135,0.0012943,0.027851,0.0086049
0.73445,0.64444,0.0024181,0.014175,0.0083778
0.62653,0.75444,0.0043785,0.0085937,0.0080228
0.50394,0.84349,0.0076846,0.0061003,0.0077691
0.3816,0.90539,0.013072,0.0051426,0.007836
0.27406,0.94279,0.021552,0.0048124,0.0078535
0.18896,0.96527,0.03444,0.0045599,0.0085868
0.12786,0.97525,0.053342,0.0042711,0.0091642
0.086492,0.97124,0.080075,0.0038822,0.010003
0.060068,0.95221,0.11651,0.0035344,0.010895
0.042748,0.91804,0.1643,0.0030349,0.011558
0.031499,0.86121,0.22458,0.0025209,0.011403
0.024187,0.79129,0.29092,0.0018795,0.010474
0.019317,0.71205,0.36459,0.0013749,0.0092256
0.015911,0.62911,0.44792,0.00092591,0.0085282
0.013733,0.53977,0.54605,0.00068946,0.0090702
0.012303,0.44618,0.65316,0.00055046,0.010218
0.01108,0.35041,0.75919,0.0009739,0.011335
0.010071,0.26313,0.8517,0.0034159,0.012215
0.0094448,0.18973,0.90739,0.011422,0.011558
0.0091269,0.1331,0.92924,0.031819,0.010788
0.0085623,0.092157,0.92116,0.073255,0.010162
0.0080983,0.063222,0.88905,0.14166,0.0093243
0.0078814,0.04335,0.8293,0.23619,0.0097881
0.0078621,0.030325,0.74546,0.34551,0.01009
0.0084244,0.02189,0.64849,0.45475,0.011347
0.0093803,0.01648,0.54549,0.55268,0.012533
0.010964,0.012715,0.44703,0.62653,0.0124
0.012824,0.009983,0.36077,0.67909,0.011991
0.017001,0.0080755,0.28841,0.697,0.012616
0.02462,0.0065222,0.22698,0.6911,0.013333
0.037243,0.0054956,0.17868,0.65569,0.01574
0.05757,0.0047261,0.13863,0.59907,0.018386
0.0865,0.0043617,0.10919,0.52538,0.020868
0.12644,0.0042666,0.088489,0.44486,0.024623
0.17423,0.0042398,0.072598,0.36638,0.028639
0.22955,0.0041745,0.059734,0.29346,0.034531
0.28851,0.0040556,0.050462,0.23321,0.043351
0.34828,0.0038791,0.042744,0.18177,0.057165
0.40305,0.0036613,0.035911,0.13857,0.078907
0.44505,0.0034686,0.030396,0.10138,0.11045
0.47378,0.0032625,0.02607,0.071782,0.15824
0.48581,0.003052,0.022346,0.049899,0.22605
0.47793,0.0029117,0.018891,0.033552,0.30699
0.45041,0.0028604,0.016095,0.022593,0.4039
0.40922,0.0030654,0.013723,0.015214,0.50595
0.35613,0.0037943,0.011888,0.010084,0.611
0.29961,0.0050896,0.010521,0.0066685,0.7122
0.24357,0.0066901,0.0093981,0.0044573,0.80165
0.19356,0.0083031,0.0085307,0.0031637,0.87094
0.14748,0.0098355,0.0076907,0.0021526,0.91974
0.1038,0.011269,0.0069333,0.0014033,0.95506
0.066688,0.012651,0.0062248,0.00092698,0.98614
